day_of_year,hour_of_day,time_in_secs
01-01-18,0,2549
01-01-18,1,2751
01-01-18,2,2248
01-01-18,3,2440
01-01-18,4,2666
01-01-18,5,2084
01-01-18,6,2302
01-01-18,7,3410
01-01-18,8,3229
01-01-18,9,2367
01-01-18,10,2217
01-01-18,11,2082
01-01-18,12,2055
01-01-18,13,2842
01-01-18,14,2206
01-01-18,15,2178
01-01-18,16,2974
01-01-18,17,2444
01-01-18,18,2965
01-01-18,19,2714
01-01-18,20,2783
01-01-18,21,1951
01-01-18,22,2234
01-01-18,23,2263
01-02-18,0,2311
01-02-18,1,2732
01-02-18,2,2165
01-02-18,3,2377
01-02-18,4,2836
01-02-18,5,2841
01-02-18,6,2719
01-02-18,7,3671
01-02-18,8,3417
01-02-18,9,2578
01-02-18,10,2301
01-02-18,11,2357
01-02-18,12,2165
01-02-18,13,1958
01-02-18,14,2649
01-02-18,15,2620
01-02-18,16,2157
01-02-18,17,2394
01-02-18,18,2262
01-02-18,19,2607
01-02-18,20,2075
01-02-18,21,2119
01-02-18,22,2404
01-02-18,23,2107
01-03-18,0,2763
01-03-18,1,2038
01-03-18,2,2614
01-03-18,3,2103
01-03-18,4,2341
01-03-18,5,2372
01-03-18,6,2646
01-03-18,7,2633
01-03-18,8,2818
01-03-18,9,2918
01-03-18,10,2698
01-03-18,11,2733
01-03-18,12,2094
01-03-18,13,2489
01-03-18,14,2550
01-03-18,15,2808
01-03-18,16,2335
01-03-18,17,3070
01-03-18,18,2751
01-03-18,19,2281
01-03-18,20,2525
01-03-18,21,2427
01-03-18,22,2534
01-03-18,23,2358
01-04-18,0,2949
01-04-18,1,2500
01-04-18,2,2363
01-04-18,3,2078
01-04-18,4,2110
01-04-18,5,2403
01-04-18,6,2819
01-04-18,7,2949
01-04-18,8,3511
01-04-18,9,2350
01-04-18,10,2745
01-04-18,11,2696
01-04-18,12,2727
01-04-18,13,2552
01-04-18,14,2654
01-04-18,15,2356
01-04-18,16,2938
